iter	Accuracy	Logloss
274	0.8067584836	0.4110123703
275	0.8063325288	0.4109602199
276	0.8064745137	0.4108863437
277	0.8060485589	0.4108122929
278	0.8063325288	0.4107345257
279	0.8063325288	0.4106695179
280	0.8064745137	0.4106262557
281	0.8067584836	0.4105174474
282	0.8066164987	0.4104606998
283	0.8063325288	0.4103712006
284	0.8064745137	0.4103064877
285	0.8067584836	0.4101839291
286	0.8069004686	0.4101163947
287	0.8069004686	0.4100466201
288	0.8069004686	0.4099381602
289	0.8071844384	0.4098355483
290	0.8071844384	0.40977684
291	0.8074684083	0.4096916108
292	0.8074684083	0.4096087059
293	0.8074684083	0.4095198334
294	0.8080363481	0.4094563707
295	0.8080363481	0.4093845294
296	0.808462303	0.4093134967
297	0.8086042879	0.409262793
298	0.8087462729	0.409198609
299	0.808462303	0.4091274989
300	0.808462303	0.4090217957
301	0.808462303	0.4089363004
302	0.808462303	0.4088601638
303	0.8087462729	0.4087552609
304	0.8088882578	0.4086778421
305	0.8090302428	0.4086134116
306	0.8086042879	0.4085579551
307	0.8087462729	0.4085077596
308	0.8087462729	0.4084462364
309	0.8086042879	0.4083932804
310	0.8087462729	0.40833551
311	0.8087462729	0.4082781307
312	0.8090302428	0.4082119959
313	0.8091722277	0.4081572562
314	0.8095981826	0.4080849481
315	0.8097401675	0.408018074
316	0.8095981826	0.4079257866
317	0.8093142127	0.4078636646
318	0.8094561976	0.4078231302
319	0.8097401675	0.4077818457
320	0.8098821525	0.4076997204
321	0.8100241374	0.4076261342
322	0.8101661224	0.4075761958
323	0.8100241374	0.4075019742
324	0.8103081073	0.4074671414
325	0.8101661224	0.4073950701
326	0.8103081073	0.4073519049
327	0.8103081073	0.4072943149
328	0.8101661224	0.4072468493
329	0.8103081073	0.4072008378
330	0.8103081073	0.4071550023
331	0.8103081073	0.4070752714
332	0.8103081073	0.4069998249
333	0.8103081073	0.4069636262
334	0.8101661224	0.4068948458
335	0.8103081073	0.4068395274
